name,thumb,cs,en
K1Menu.png,K1Menu.jpg,Menu,Menu
K13VodniPlochy.png,K13VodniPlochy.jpg,3 Vodní Plochy,3 Water Surfaces
K1BombyMiny.png,K1BombyMiny.jpg,Bomby a Miny,Bombs and Mines
K1OsvobodSe.png,K1OsvobodSe.jpg,Osvoboď Se,Free Yourself
K1OsvobodSe2.png,K1OsvobodSe2.jpg,Osvoboď Se,Free Yourself
K1HellRun.png,K1HellRun.jpg,Hell Run,Hell Run
K1Brneni.png,K1Brneni.jpg,Brnění,Armor
K1Arkanoid.png,K1Arkanoid.jpg,Arkanoid,Arkanoid
K1XLevel.png,K1XLevel.jpg,X Level,X Level
K1NajdiKombinaci.png,K1NajdiKombinaci.jpg,Najdi Kombinaci,Find Combination
K1PromenujSe.png,K1PromenujSe.jpg,Proměňuj Se,Transform Yourself
K1PouzijPriseru.png,K1PouzijPriseru.jpg,Použij Příšeru,Use a Monster
